AE51	
Date Time	IR: Ref;IR Sense;IR Atten;UV: Ref;UV: Sense;UV Atten;Flow (mL/m);Temp (C);0;0;IR BC;UV BC	2015/04/12;14:33:18;
2015/04/12;15:13:18;21260;266017;-252.67;854539;6751160;-206.69;1555;89;0;0;-54276022;-55141114
2015/04/12;15:13:28;6371360;6764900;-5.99;6698016;156515;375.64;17476;67;0;0;4789225;4909175
2015/04/12;15:13:38;21004;266017;-253.88;854539;6751227;-206.69;1565;89;0;0;-53742830;-54819733
2015/04/12;15:13:48;3749920;6763875;-58.99;6698016;144994;383.29;17476;67;0;0;3783906;4973640
2015/04/12;15:13:58;20748;266017;-255.11;854539;6751012;-206.69;1575;89;0;0;-42249910;-55186578
2015/04/12;15:14:08;3684384;6764131;-60.75;6698016;145209;383.14;17476;67;0;0;3773410;4972364
2015/04/12;15:14:18;21004;266017;-253.88;854539;6751150;-206.69;1585;89;0;0;-41342610;-54824815
2015/04/12;15:14:28;3618848;6762853;-62.53;3303491;2105405;45.05;26424;117;0;0;2457066;1403555
2015/04/12;15:14:38;34552;839017;-318.98;20329;725412;-357.47;1039;12;0;0;-83744596;-57075227
2015/04/12;15:14:48;3303491;2105405;45.05;3303491;2105405;45.05;26470;117;0;0;4666050;2240316
2015/04/12;15:14:58;34271;839025;-319.79;20308;725410;-357.57;1039;12;0;0;-119141226;-57089843
2015/04/12;15:15:08;3303491;2105405;45.05;3303491;2105405;45.05;26467;117;0;0;4677060;2241144
